model,cadence_bars,cadence_minutes,cost_bps,phase_count,sleeve_count,mean_phase_break_even_cost_bps,median_phase_break_even_cost_bps,worst_phase_break_even_cost_bps,best_phase_break_even_cost_bps,mean_pooled_annualized_net_return,median_pooled_annualized_net_return,worst_pooled_annualized_net_return,best_pooled_annualized_net_return,positive_phase_fraction,mean_positive_sleeve_fraction,mean_pooled_turnover
mlp,3,15,10,3,4,0.0527102575107,0.0577307797747,0.0123373352893,0.0880626574681,-12.9504702097,-12.9295930329,-13.0104180716,-12.9113995247,0,0,1.48619749674
momentum_12,3,15,10,3,4,-0.602972973476,-0.574671054368,-0.71801176094,-0.516236105119,-14.470638107,-14.4364704012,-14.6525701758,-14.3228737439,0,0,1.55794075866
reversal_12,3,15,10,3,4,0.602073294852,0.578486966141,0.513353842232,0.714379076183,-12.8246861965,-12.8604043576,-12.9203564194,-12.6932978126,0,0,1.55781597942
ridge,3,15,10,3,4,0.31338276321,0.339725072442,0.203802463788,0.3966207534,-11.8212586218,-11.8423170656,-11.8647557026,-11.7567030971,0,0,1.39317457575
tcn,3,15,10,3,4,-0.0437082821601,-0.0363709486066,-0.162479967672,0.0677260697987,-12.4018839301,-12.3658962244,-12.5231987809,-12.316556785,0,0,1.40961184059
transformer,3,15,10,3,4,0.27008188753,0.237864827532,0.237797285828,0.334583549231,-8.59962720445,-8.63609278242,-8.64834179367,-8.51444703726,0,0,1.00893131383
lightgbm,6,30,10,6,2,0.416167737867,0.418137530801,0.056543731618,0.766598402945,-2.81315432898,-2.83826082274,-2.9044925093,-2.6817129154,0,0,0.335065845043
mlp,6,30,10,6,2,0.0526750052273,0.0370042836651,-0.0113904599488,0.14034265132,-12.9504702097,-12.9344316574,-13.0852678608,-12.8804805627,0,0,1.48619749674
momentum_12,6,30,10,6,2,-0.602965751694,-0.577764678105,-0.812046013169,-0.472774649392,-14.470638107,-14.4364704012,-14.787396974,-14.2647369187,0,0,1.55794075866
reversal_12,6,30,10,6,2,0.602062196372,0.582102331581,0.462157608507,0.806201414888,-12.8246861965,-12.8366828773,-12.990323819,-12.5743875519,0,0,1.55781597942
ridge,6,30,10,6,2,0.313514743748,0.299790905998,0.109781911311,0.521660224852,-11.8212586218,-11.7966915061,-12.0552189527,-11.5943156346,0,0,1.39317457575
tcn,6,30,10,6,2,-0.0436014760327,-0.0360073287597,-0.285530190815,0.154477373402,-12.4018839301,-12.3545315378,-12.7290579828,-12.2413900734,0,0,1.40961184059
transformer,6,30,10,6,2,0.270029603726,0.284975762375,0.112700952609,0.362635600989,-8.59962720445,-8.5472949604,-8.74432522764,-8.49199747165,0,0,1.00893131383
lightgbm,12,60,10,12,1,0.418440366841,0.287810757165,-0.320258243315,1.38251536616,-2.81315432898,-2.80925904128,-3.10775284462,-2.52760888961,0,0,0.335065845043
mlp,12,60,10,12,1,0.052860460388,0.0578939180386,-0.138749371507,0.215990268231,-12.9504702097,-12.9480296492,-13.2246217312,-12.641968334,0,0,1.48619749674
momentum_12,12,60,10,12,1,-0.602938495381,-0.574258393071,-0.820859576711,-0.432640143241,-14.470638107,-14.4200338012,-14.8294757977,-14.2527023779,0,0,1.55794075866
reversal_12,12,60,10,12,1,0.602025726264,0.571184659201,0.426940266137,0.813279676984,-12.8246861965,-12.848564116,-13.0793400629,-12.5578828687,0,0,1.55781597942
ridge,12,60,10,12,1,0.313638394732,0.299116091911,-0.0383173832055,0.640830567169,-11.8212586218,-11.7815165781,-12.3035986318,-11.44144557,0,0,1.39317457575
tcn,12,60,10,12,1,-0.0437478449263,-0.0194549242332,-0.295405813827,0.201181078122,-12.4018839301,-12.4331766516,-12.7490706778,-12.0589787613,0,0,1.40961184059
transformer,12,60,10,12,1,0.270048834822,0.317732333974,-0.162073028491,0.454630622905,-8.59962720445,-8.57644042265,-8.99989565801,-8.38774761451,0,0,1.00893131383
