model,fold,regime_dimension,regime,cost_bps,period_count,cohort_count,total_gross_log_return,total_turnover,mean_turnover,break_even_cost_bps,pooled_gross_mean_return,pooled_net_mean_return,equal_weighted_net_mean_return,pooled_annualized_net_return,equal_weighted_annualized_net_return,worst_cohort_annualized_net_return,best_cohort_annualized_net_return,positive_cohort_fraction
mlp,1,direction,flat,0,5852,12,0.135516045632,8666.25,1.48090396446,0.156372185931,2.31572190076e-05,2.31572190076e-05,2.28994367263e-05,0.202857238506,0.200599065722,-0.468411433965,1.13759370546,0.583333333333
mlp,1,direction,flat,0.5,5852,12,0.135516045632,8666.25,1.48090396446,0.156372185931,2.31572190076e-05,-5.08879792153e-05,-5.11362096485e-05,-0.445778697926,-0.447953196521,-1.12338782,0.497351567094,0.166666666667
mlp,1,direction,flat,1,5852,12,0.135516045632,8666.25,1.48090396446,0.156372185931,2.31572190076e-05,-0.000124933177438,-0.000125171856023,-1.09441463436,-1.09650545876,-1.77836420604,-0.142890571271,0
mlp,1,direction,up,0,5367,12,0.485414092289,8092.5,1.50782560089,0.5998320572,9.04442132083e-05,9.04442132083e-05,9.02850123458e-05,0.792291307705,0.790896708149,-0.125947994136,1.95579857693,0.916666666667
mlp,1,direction,up,0.5,5367,12,0.485414092289,8092.5,1.50782560089,0.5998320572,9.04442132083e-05,1.50529331636e-05,1.48883473062e-05,0.131863694513,0.130421922402,-0.794916598787,1.30502016783,0.416666666667
mlp,1,direction,up,1,5367,12,0.485414092289,8092.5,1.50782560089,0.5998320572,9.04442132083e-05,-6.03383468811e-05,-6.05083177335e-05,-0.528563918679,-0.530052863345,-1.46388520344,0.654241758744,0.166666666667
mlp,1,dispersion,high,0,5297,12,0.503952431312,8028,1.51557485369,0.62774343711,9.51392167853e-05,9.51392167853e-05,9.59503940205e-05,0.83341953904,0.84052545162,-0.376699545312,2.36011516958,0.75
mlp,1,dispersion,high,0.5,5297,12,0.503952431312,8028,1.51557485369,0.62774343711,9.51392167853e-05,1.93604741008e-05,2.01694880222e-05,0.169597753123,0.176684715074,-1.04051287864,1.68272551441,0.416666666667
mlp,1,dispersion,high,1,5297,12,0.503952431312,8028,1.51557485369,0.62774343711,9.51392167853e-05,-5.64182685837e-05,-5.56114179762e-05,-0.494224032794,-0.487156021471,-1.70432621198,1.00533585924,0.333333333333
mlp,1,dispersion,low,0,5791,12,0.0893333254549,8616.75,1.48795544811,0.103674036562,1.5426234753e-05,1.5426234753e-05,1.5923755853e-05,0.135133816437,0.139492101272,-0.539950326807,1.08879189665,0.583333333333
mlp,1,dispersion,low,0.5,5791,12,0.0893333254549,8616.75,1.48795544811,0.103674036562,1.5426234753e-05,-5.89715376524e-05,-5.84561419353e-05,-0.516590669835,-0.512075803353,-1.20611002262,0.450234001918,0.166666666667
mlp,1,dispersion,low,1,5791,12,0.0893333254549,8616.75,1.48795544811,0.103674036562,1.5426234753e-05,-0.000133369310058,-0.000132836039724,-1.16831515611,-1.16364370798,-1.87226971844,-0.188323892819,0
mlp,1,dispersion,medium,0,5892,12,-0.146116226072,8863.75,1.50437033265,-0.164846962146,-2.47990879281e-05,-2.47990879281e-05,-2.61377054363e-05,-0.21724001025,-0.228966299622,-0.921745293079,0.876404090641,0.333333333333
mlp,1,dispersion,medium,0.5,5892,12,-0.146116226072,8863.75,1.50437033265,-0.164846962146,-2.47990879281e-05,-0.000100017604561,-0.00010135808312,-0.876154215953,-0.887896808132,-1.57182699242,0.219625302762,0.0833333333333
mlp,1,dispersion,medium,1,5892,12,-0.146116226072,8863.75,1.50437033265,-0.164846962146,-2.47990879281e-05,-0.000175236121194,-0.000176578460804,-1.53506842166,-1.54682731664,-2.22190869177,-0.437153485117,0
mlp,1,volatility,high,0,5317,12,0.463063194931,8040.25,1.51217791988,0.575931339113,8.70910654374e-05,8.70910654374e-05,8.67515893267e-05,0.762917733232,0.759943922502,-0.795275234694,2.2619757962,0.916666666667
mlp,1,volatility,high,0.5,5317,12,0.463063194931,8040.25,1.51217791988,0.575931339113,8.70910654374e-05,1.14821694434e-05,1.11419929481e-05,0.100583804324,0.0976038582257,-1.45692959711,1.59959856406,0.416666666667
mlp,1,volatility,high,1,5317,12,0.463063194931,8040.25,1.51217791988,0.575931339113,8.70910654374e-05,-6.41267265506e-05,-6.44676034304e-05,-0.561750124583,-0.56473620605,-2.11858395953,0.937221331915,0.25
