model,fold,cost_bps,period_count,cohort_count,total_gross_log_return,total_turnover,mean_turnover,break_even_cost_bps,pooled_gross_mean_return,pooled_net_mean_return,equal_weighted_net_mean_return,pooled_annualized_net_return,equal_weighted_annualized_net_return,worst_cohort_annualized_net_return,best_cohort_annualized_net_return,positive_cohort_fraction
ridge,2,1,17556,12,0.862996451075,24967.25,1.42214912281,0.345651383743,4.91567812186e-05,-9.30581310621e-05,-9.30581310621e-05,-0.815189228104,-0.815189228104,-1.30051323793,-0.48567672699,0
ridge,3,0,17556,12,1.10913476014,23719.75,1.35109079517,0.467599683866,6.31769628696e-05,6.31769628696e-05,6.31769628696e-05,0.553430194738,0.553430194738,0.126672059974,1.35505666429,1
ridge,3,0.5,17556,12,1.10913476014,23719.75,1.35109079517,0.467599683866,6.31769628696e-05,-4.37757688886e-06,-4.37757688886e-06,-0.0383475735464,-0.0383475735464,-0.465436279055,0.765268557662,0.416666666667
ridge,3,1,17556,12,1.10913476014,23719.75,1.35109079517,0.467599683866,6.31769628696e-05,-7.19321166474e-05,-7.19321166474e-05,-0.630125341831,-0.630125341831,-1.05754461808,0.175480451032,0.0833333333333
tcn,1,0,16980,12,0.00712232301523,24900.5,1.46646054181,0.00286031325284,4.19453652252e-07,4.19453652252e-07,4.19453652252e-07,0.00367441399372,0.00367441399372,-0.935746436355,0.916599603322,0.583333333333
tcn,1,0.5,16980,12,0.00712232301523,24900.5,1.46646054181,0.00286031325284,4.19453652252e-07,-7.29035734384e-05,-7.29035734384e-05,-0.638635303321,-0.638635303321,-1.57162028795,0.259212677527,0.0833333333333
tcn,1,1,16980,12,0.00712232301523,24900.5,1.46646054181,0.00286031325284,4.19453652252e-07,-0.000146226600529,-0.000146226600529,-1.28094502064,-1.28094502064,-2.20749413954,-0.398174248268,0
tcn,2,0,17556,12,0.194302738275,26384.5,1.50287650946,0.0736427593,1.10675973043e-05,1.10675973043e-05,1.10675973043e-05,0.096952152386,0.096952152386,-0.490772427942,0.732291560288,0.583333333333
tcn,2,0.5,17556,12,0.194302738275,26384.5,1.50287650946,0.0736427593,1.10675973043e-05,-6.40762281684e-05,-6.40762281684e-05,-0.561307758755,-0.561307758755,-1.1531613548,0.0722228658249,0.0833333333333
tcn,2,1,17556,12,0.194302738275,26384.5,1.50287650946,0.0736427593,1.10675973043e-05,-0.000139220053641,-0.000139220053641,-1.2195676699,-1.2195676699,-1.81555028167,-0.587845828638,0
tcn,3,0,17556,12,-0.520662240116,22144.5,1.26136363636,-0.235120341447,-2.9657224887e-05,-2.9657224887e-05,-2.9657224887e-05,-0.25979729001,-0.25979729001,-0.949592525807,0.392580085469,0.25
tcn,3,0.5,17556,12,-0.520662240116,22144.5,1.26136363636,-0.235120341447,-2.9657224887e-05,-9.27254067052e-05,-9.27254067052e-05,-0.812274562737,-0.812274562737,-1.50098452854,-0.164275690334,0
tcn,3,1,17556,12,-0.520662240116,22144.5,1.26136363636,-0.235120341447,-2.9657224887e-05,-0.000155793588523,-0.000155793588523,-1.36475183546,-1.36475183546,-2.05237653128,-0.721131466137,0
transformer,1,0,16980,12,0.851176516398,14762.25,0.869390459364,0.576589961827,5.01281811778e-05,5.01281811778e-05,5.01281811778e-05,0.439122867117,0.439122867117,-0.192623940044,0.666195972177,0.916666666667
transformer,1,0.5,16980,12,0.851176516398,14762.25,0.869390459364,0.576589961827,5.01281811778e-05,6.65865820957e-06,6.65865820957e-06,0.0583298459158,0.0583298459158,-0.573668463012,0.289098092318,0.833333333333
transformer,1,1,16980,12,0.851176516398,14762.25,0.869390459364,0.576589961827,5.01281811778e-05,-3.68108647586e-05,-3.68108647586e-05,-0.322463175286,-0.322463175286,-0.95471298598,-0.0879997875406,0
transformer,2,0,17556,12,1.06163750405,14695.75,0.837078491684,0.722411244104,6.0471491459e-05,6.0471491459e-05,6.0471491459e-05,0.529730265181,0.529730265181,-0.0475287482973,0.915655098068,0.916666666667
transformer,2,0.5,17556,12,1.06163750405,14695.75,0.837078491684,0.722411244104,6.0471491459e-05,1.86175668748e-05,1.86175668748e-05,0.163089885824,0.163089885824,-0.409035925331,0.550779841746,0.833333333333
transformer,2,1,17556,12,1.06163750405,14695.75,0.837078491684,0.722411244104,6.0471491459e-05,-2.32363577094e-05,-2.32363577094e-05,-0.203550493534,-0.203550493534,-0.770543102364,0.185904585423,0.166666666667
transformer,3,0,17556,12,-0.493895108797,23099.25,1.31574675325,-0.21381434843,-2.81325534744e-05,-2.81325534744e-05,-2.81325534744e-05,-0.246441168436,-0.246441168436,-1.15525467166,0.242034975189,0.25
transformer,3,0.5,17556,12,-0.493895108797,23099.25,1.31574675325,-0.21381434843,-2.81325534744e-05,-9.39198911368e-05,-9.39198911368e-05,-0.822738246358,-0.822738246358,-1.73576184869,-0.333083274982,0
transformer,3,1,17556,12,-0.493895108797,23099.25,1.31574675325,-0.21381434843,-2.81325534744e-05,-0.000159707228799,-0.000159707228799,-1.39903532428,-1.39903532428,-2.31626902572,-0.908201525153,0
