model,cost_bps,cohort,period_count,mean_net_return,annualized_net_return,annualized_volatility,annualized_sharpe,positive_fraction,mean_turnover,cumulative_net_log_return
mlp,0,5,4341,4.43694545721e-06,0.0388676422051,0.180351300388,0.215510739992,0.507486754204,1.48329877908,0.0192607802297
mlp,0,6,4341,1.08735940097e-05,0.0952526835246,0.176392792907,0.540003261782,0.509560009214,1.48468094909,0.0472022715959
mlp,0,7,4341,2.78768746972e-05,0.244201422347,0.169842728074,1.43780911386,0.514858327574,1.48462335867,0.121013513061
mlp,0,8,4341,5.92222865803e-06,0.0518787230443,0.1719561536,0.301697391796,0.505413499194,1.48825155494,0.0257083946045
mlp,0,9,4341,3.18586889537e-05,0.279082115235,0.169815206926,1.64344595686,0.512554710896,1.47500575904,0.138298568748
mlp,0,10,4341,1.62229139325e-05,0.142112726049,0.168607577357,0.842860850481,0.510711817554,1.48398986409,0.0704236693812
mlp,0,11,4341,6.3005425106e-06,0.0551927523928,0.161564893868,0.341613521795,0.51531905091,1.48076480074,0.0273506550385
mlp,1,0,4341,-0.000136742629464,-1.1978654341,0.176554469267,-6.78467919321,0.457958995623,1.48951854411,-0.593599754503
mlp,1,1,4341,-0.000135816601074,-1.18975342541,0.173586674304,-6.85394446425,0.466252015665,1.49798433541,-0.589579865264
mlp,1,2,4341,-0.000158906610556,-1.39202190847,0.167124566029,-8.32924770752,0.45934116563,1.49585348998,-0.689813596422
mlp,1,3,4341,-0.00016955980765,-1.48534391501,0.173274349588,-8.57220886151,0.457958995623,1.48900023036,-0.736059125008
mlp,1,4,4341,-0.000153841818482,-1.3476543299,0.172723516112,-7.80237897096,0.467634185672,1.48139829532,-0.667827334029
mlp,1,5,4341,-0.000143892932451,-1.26050208827,0.180385684781,-6.98781663191,0.464869845658,1.48329877908,-0.62463921977
mlp,1,6,4341,-0.000137594500899,-1.20532782788,0.176396002397,-6.83307904658,0.471319972357,1.48468094909,-0.597297728404
mlp,1,7,4341,-0.00012058546117,-1.05632863985,0.169840595341,-6.21952977574,0.475696844045,1.48462335867,-0.523461486939
mlp,1,8,4341,-0.000142902926836,-1.25182963908,0.171981656576,-7.27885557102,0.466943100668,1.48825155494,-0.620341605396
mlp,1,9,4341,-0.00011564188695,-1.01302292969,0.169882575154,-5.96307731248,0.466943100668,1.47500575904,-0.502001431252
mlp,1,10,4341,-0.000132176072476,-1.15786239489,0.168644082877,-6.8657160995,0.473623589035,1.48398986409,-0.573776330619
mlp,1,11,4341,-0.000141775937563,-1.24195721305,0.161559051503,-7.6873267174,0.463948398986,1.48076480074,-0.615449344962
mlp,2,0,4341,-0.000285694483875,-2.50268367875,0.176560167657,-14.1746788755,0.416493895416,1.48951854411,-1.2401997545
mlp,2,1,4341,-0.000285615034615,-2.50198770323,0.173633285251,-14.4096087315,0.417645703755,1.49798433541,-1.23985486526
mlp,2,2,4341,-0.000308491959554,-2.70238956569,0.16722738174,-16.1599705597,0.415342087077,1.49585348998,-1.33916359642
mlp,2,3,4341,-0.000318459830686,-2.78970811681,0.173370764804,-16.0909950416,0.416493895416,1.48900023036,-1.38243412501
mlp,2,4,4341,-0.000301981648014,-2.6453592366,0.172759920579,-15.3123434402,0.422483298779,1.48139829532,-1.31090233403
mlp,2,5,4341,-0.000292222810359,-2.55987181875,0.180464545457,-14.1849015953,0.417645703755,1.48329877908,-1.26853921977
mlp,2,6,4341,-0.000286062595808,-2.50590833928,0.17644487332,-14.2022167725,0.430085233817,1.48468094909,-1.2417977284
mlp,2,7,4341,-0.000269047797037,-2.35685870205,0.169887186042,-13.8730810543,0.431006680488,1.48462335867,-1.16793648694
mlp,2,8,4341,-0.00029172808233,-2.55553800121,0.172055527842,-14.8529839946,0.4266298088,1.48825155494,-1.2663916054
mlp,2,9,4341,-0.000263142462855,-2.30512797461,0.169997851514,-13.5597476914,0.419718958765,1.47500575904,-1.14230143125
mlp,2,10,4341,-0.000280575058885,-2.45783751583,0.168729560701,-14.5667274046,0.428242340475,1.48398986409,-1.21797633062
mlp,2,11,4341,-0.000289852417637,-2.5391071785,0.161604568755,-15.7118526912,0.414651002073,1.48076480074,-1.25824934496
mlp,5,0,4341,-0.00073255004711,-6.41713841268,0.176854915343,-36.2847614398,0.299700529832,1.48951854411,-3.1799997545
mlp,5,1,4341,-0.000735010335237,-6.43869053668,0.174056315858,-36.9919959809,0.293020041465,1.49798433541,-3.19067986526
mlp,5,2,4341,-0.000757248006547,-6.63349253735,0.167829977169,-39.5250756107,0.286800276434,1.49585348998,-3.28721359642
mlp,5,3,4341,-0.000765159899794,-6.7028007222,0.173938267623,-38.5355150065,0.297396913154,1.48900023036,-3.32155912501
mlp,5,4,4341,-0.000746401136611,-6.53847395671,0.173159270841,-37.7598838627,0.298318359825,1.48139829532,-3.24012733403
mlp,5,5,4341,-0.000737212444084,-6.45798101018,0.180967239772,-35.6859120928,0.293020041465,1.48329877908,-3.20023921977
