model,horizon_bars,horizon_minutes,cost_bps,cohort_count,total_periods,mean_cohort_sharpe,median_cohort_sharpe,worst_cohort_sharpe,best_cohort_sharpe,mean_annualized_net_return,median_annualized_net_return,worst_annualized_net_return,best_annualized_net_return,mean_annualized_volatility,mean_positive_fraction,mean_turnover,mean_cumulative_net_log_return
tcn,6,30,1,6,52092,-13.1075828356,-12.8075035325,-15.2274387846,-11.5660639076,-2.46336453859,-2.40547586079,-2.82384888088,-2.19807626582,0.188073908112,0.440969822622,1.3787337787,-1.22071523539
transformer,6,30,1,6,52092,-7.5089837538,-7.85577354619,-8.28327658362,-6.2896793887,-1.58704724178,-1.65303044365,-1.73962968254,-1.34008170151,0.211491052474,0.47275973278,1.05118828227,-0.78645799961
lightgbm,12,60,1,12,52092,-0.805427127671,-0.968075340487,-1.84913469374,0.518867275082,-0.171495206663,-0.20600437646,-0.397571089266,0.11219622442,0.214189107221,0.507832296706,0.335065845043,-0.0849840972743
mlp,12,60,1,12,52092,-7.18148836267,-6.9267663657,-8.57220886151,-5.96307731248,-1.23328914547,-1.22364252047,-1.48534391501,-1.01302292969,0.171829435327,0.466040850802,1.48619749674,-0.611153901881
momentum_12,12,60,1,12,52092,-9.98306893588,-9.87694168943,-11.4999181678,-8.93560109472,-2.18783316574,-2.14680159662,-2.49540185162,-1.95722207378,0.219237119207,0.424306995316,1.55794075866,-1.08417622973
reversal_12,12,60,1,12,52092,-2.47571039888,-2.69728585319,-3.57600090441,-1.18079392286,-0.542865014789,-0.584666088573,-0.782951673126,-0.255910203261,0.219125655209,0.499904015972,1.55781597942,-0.269015642603
ridge,12,60,1,12,52092,-3.97994740712,-3.99605612766,-6.0419118983,-2.0655464704,-0.837470266559,-0.843554373608,-1.27262765738,-0.43907929498,0.210612731206,0.467883744145,1.39317457575,-0.415006669764
tcn,12,60,1,12,52092,-7.00341194478,-6.77674840059,-8.99131798909,-5.47686410322,-1.28850417889,-1.26086309577,-1.60413494869,-0.984684818391,0.184104196219,0.458093373263,1.40961184059,-0.638515598235
transformer,12,60,1,12,52092,-3.11582354097,-2.90372065668,-5.01608255231,-2.31003922974,-0.645212726213,-0.606614051532,-1.02917347416,-0.479229300721,0.207418079492,0.483529140751,1.00893131383,-0.319733840695
lightgbm,24,120,1,24,52056,-0.174434386004,-0.0558396387984,-1.70518029739,1.33680010807,-0.0372639556962,-0.0117987791236,-0.351882733425,0.287046342968,0.212147842339,0.50781850315,0.395377093899,-0.0184533150468
mlp,24,120,1,24,52056,-3.84275411742,-3.7905278818,-6.29928388651,-2.12337801792,-0.644944954521,-0.625103001103,-0.982611078391,-0.356243161752,0.168134552843,0.475257415091,1.51728427079,-0.319380275424
momentum_12,24,120,1,24,52056,-5.52176904662,-5.47520611573,-8.1060170176,-3.83046286325,-1.1805873008,-1.15613366463,-1.76611108209,-0.812424312338,0.213639144962,0.439411403104,1.54040840633,-0.584633300327
reversal_12,24,120,1,24,52056,-0.795251823926,-0.926594749857,-2.48012493425,1.89750806206,-0.168526042583,-0.193953759946,-0.525599025686,0.41307595506,0.213538147065,0.506166436146,1.54049004918,-0.0834550197177
ridge,24,120,1,24,52056,-1.97263938229,-1.76233980609,-3.50910649308,-0.224518976856,-0.403542446717,-0.34876364707,-0.727728660004,-0.0460082058786,0.204435944787,0.472817734747,1.40664380667,-0.199836430806
tcn,24,120,1,24,52056,-3.92834006897,-3.96518557952,-6.39038859412,-1.71147208992,-0.70414233396,-0.70344015612,-1.11467306953,-0.313714435988,0.179597818687,0.472049331489,1.41349700323,-0.348695142091
transformer,24,120,1,24,52056,-1.23396891496,-1.10542719328,-2.86833681129,0.716820723458,-0.252141892329,-0.226296540443,-0.58397930475,0.144130659347,0.204613034987,0.49656139542,1.0669807515,-0.124862046681
lightgbm,3,15,2,3,52092,-5.13420485947,-5.23395870941,-6.05635608568,-4.11229978331,-1.15532183677,-1.17079766979,-1.37626435515,-0.918903485367,0.224795998851,0.491649389542,0.210968094909,-0.572517362262
mlp,3,15,2,3,52092,-53.9377984461,-53.6784104571,-56.4541024278,-51.6808824532,-9.57472595884,-9.54853075763,-9.89116475807,-9.28448236082,0.177580476025,0.348921139522,1.41317284804,-4.74473577481
momentum_12,3,15,2,3,52092,-33.047016061,-33.0506501285,-34.1050790166,-31.985319038,-7.59305628798,-7.60417156619,-7.82604483426,-7.3489524635,0.229768361673,0.389349612225,0.838981993396,-3.76272344134
reversal_12,3,15,2,3,52092,-18.1358701868,-17.8561793034,-19.1794325997,-17.3719986572,-4.16421030865,-4.1046353973,-4.40498958392,-3.98300594473,0.229607304567,0.453505336712,0.838698840513,-2.06356586186
ridge,3,15,2,3,52092,-39.1071265472,-38.8701416787,-41.147527924,-37.3037100389,-8.6926062524,-8.7499868602,-8.9411642435,-8.38666765349,0.222408250294,0.370575136297,1.36730208093,-4.30760316686
tcn,3,15,2,3,52092,-49.3476564484,-48.9074780212,-50.4984016465,-48.6370896774,-9.56170169269,-9.50605273919,-9.73665756602,-9.44239477286,0.193773027963,0.34826844813,1.36489768103,-4.73828162648
transformer,3,15,2,3,52092,-32.4821315789,-33.2355485445,-33.6179957659,-30.5928504263,-7.00011376633,-7.06840628439,-7.25410137399,-6.6778336406,0.215579081987,0.409794210243,1.04941257775,-3.46889199311
lightgbm,6,30,2,6,52092,-3.37190740571,-3.36554954431,-4.41628049696,-2.62379406741,-0.742131381978,-0.73964961238,-0.968368248619,-0.583059262528,0.220169420523,0.495527144283,0.26518467327,-0.367761681411
mlp,6,30,2,6,52092,-28.2487517273,-28.7780024956,-29.1371590887,-26.8345867749,-4.90506448076,-4.93266728127,-5.05410252783,-4.66964627967,0.17370868758,0.392094755433,1.44890290256,-2.43069462454
momentum_12,6,30,2,6,52092,-23.9381988125,-23.6669123448,-26.3843379626,-22.6575557723,-5.3672819971,-5.27973658907,-5.89482994311,-5.08814342769,0.224239140051,0.385011134147,1.13724756201,-2.659745565
reversal_12,6,30,2,6,52092,-11.6160702571,-12.0545897041,-12.5553047741,-9.48561894683,-2.60045837272,-2.68504848198,-2.81263052691,-2.11422508739,0.223833504056,0.458842048683,1.13716117638,-1.2886518032
