model,cost_bps,cohort_count,total_periods,mean_cohort_net_return,median_cohort_net_return,worst_cohort_net_return,best_cohort_net_return,mean_cohort_annualized_net_return,median_cohort_annualized_net_return,worst_cohort_annualized_net_return,best_cohort_annualized_net_return,positive_cohort_fraction,pooled_mean_net_return,pooled_annualized_net_return,pooled_cumulative_net_log_return,mean_turnover
tcn,5.7,12,52092,-0.000809607083215,-0.000808560848208,-0.000847519183981,-0.000773774139238,-7.09215804897,-7.0829930303,-7.42426805167,-6.77826145972,0,-0.000809607083215,-7.09215804897,-42.1740521789,1.40961184059
tcn,5.8,12,52092,-0.000823703201621,-0.000822764372742,-0.000861655327726,-0.000787845781716,-7.2156400462,-7.20741590522,-7.54810067088,-6.90152904784,0,-0.000823703201621,-7.2156400462,-42.9083471789,1.40961184059
tcn,5.9,12,52092,-0.000837799320027,-0.000836967897275,-0.000875791471472,-0.000801917424195,-7.33912204344,-7.33183878013,-7.67193329009,-7.02479663595,0,-0.000837799320027,-7.33912204344,-43.6426421789,1.40961184059
tcn,6,12,52092,-0.000851895438433,-0.000851171421809,-0.000889927615218,-0.000815989066674,-7.46260404067,-7.45626165504,-7.79576590931,-7.14806422406,0,-0.000851895438433,-7.46260404067,-44.3769371789,1.40961184059
tcn,6.1,12,52092,-0.000865991556839,-0.000865374946342,-0.000904063758963,-0.000830060709153,-7.58608603791,-7.58068452996,-7.91959852852,-7.27133181218,0,-0.000865991556839,-7.58608603791,-45.1112321789,1.40961184059
tcn,6.2,12,52092,-0.000880087675245,-0.000879578470876,-0.000918199902709,-0.000844132351631,-7.70956803515,-7.70510740487,-8.04343114773,-7.39459940029,0,-0.000880087675245,-7.70956803515,-45.8455271789,1.40961184059
tcn,6.3,12,52092,-0.000894183793651,-0.000893781995409,-0.000932336046455,-0.00085820399411,-7.83305003238,-7.82953027979,-8.16726376694,-7.5178669884,0,-0.000894183793651,-7.83305003238,-46.5798221789,1.40961184059
tcn,6.4,12,52092,-0.000908279912057,-0.000907985519943,-0.0009464721902,-0.000872275636589,-7.95653202962,-7.9539531547,-8.29109638616,-7.64113457652,0,-0.000908279912057,-7.95653202962,-47.3141171789,1.40961184059
tcn,6.5,12,52092,-0.000922376030463,-0.000922189044476,-0.000960608333946,-0.000886347279067,-8.08001402685,-8.07837602961,-8.41492900537,-7.76440216463,0,-0.000922376030463,-8.08001402685,-48.0484121789,1.40961184059
tcn,6.6,12,52092,-0.000936472148869,-0.00093639256901,-0.000974744477692,-0.000900418921546,-8.20349602409,-8.20279890453,-8.53876162458,-7.88766975274,0,-0.000936472148869,-8.20349602409,-48.7827071789,1.40961184059
tcn,6.7,12,52092,-0.000950568267275,-0.000950596093544,-0.000988880621438,-0.000914490564025,-8.32697802132,-8.32722177944,-8.66259424379,-8.01093734086,0,-0.000950568267275,-8.32697802132,-49.5170021789,1.40961184059
tcn,6.8,12,52092,-0.00096466438568,-0.000964799618077,-0.00100301676518,-0.000928562206503,-8.45046001856,-8.45164465436,-8.78642686301,-8.13420492897,0,-0.00096466438568,-8.45046001856,-50.2512971789,1.40961184059
tcn,6.9,12,52092,-0.000978760504086,-0.000979003142611,-0.00101715290893,-0.000942633848982,-8.5739420158,-8.57606752927,-8.91025948222,-8.25747251708,0,-0.000978760504086,-8.5739420158,-50.9855921789,1.40961184059
tcn,7,12,52092,-0.000992856622492,-0.000993206667144,-0.00103128905267,-0.000956705491461,-8.69742401303,-8.70049040418,-9.03409210143,-8.3807401052,0,-0.000992856622492,-8.69742401303,-51.7198871789,1.40961184059
tcn,7.1,12,52092,-0.0010069527409,-0.00100741019168,-0.00104542519642,-0.00097077713394,-8.82090601027,-8.8249132791,-9.15792472064,-8.50400769331,0,-0.0010069527409,-8.82090601027,-52.4541821789,1.40961184059
tcn,7.2,12,52092,-0.0010210488593,-0.00102161371621,-0.00105956134017,-0.000984848776418,-8.9443880075,-8.94933615401,-9.28175733986,-8.62727528142,0,-0.0010210488593,-8.9443880075,-53.1884771789,1.40961184059
tcn,7.3,12,52092,-0.00103514497771,-0.00103581724074,-0.00107369748391,-0.000998920418897,-9.06787000474,-9.07375902893,-9.40558995907,-8.75054286954,0,-0.00103514497771,-9.06787000474,-53.9227721789,1.40961184059
tcn,7.4,12,52092,-0.00104924109612,-0.00105002076528,-0.00108783362766,-0.00101299206138,-9.19135200198,-9.19818190384,-9.52942257828,-8.87381045765,0,-0.00104924109612,-9.19135200198,-54.6570671789,1.40961184059
tcn,7.5,12,52092,-0.00106333721452,-0.00106422428981,-0.0011019697714,-0.00102706370385,-9.31483399921,-9.32260477875,-9.65325519749,-8.99707804576,0,-0.00106333721452,-9.31483399921,-55.3913621789,1.40961184059
tcn,7.6,12,52092,-0.00107743333293,-0.00107842781435,-0.00111610591515,-0.00104113534633,-9.43831599645,-9.44702765367,-9.7770878167,-9.12034563388,0,-0.00107743333293,-9.43831599645,-56.1256571789,1.40961184059
tcn,7.7,12,52092,-0.00109152945133,-0.00109263133888,-0.00113024205889,-0.00105520698881,-9.56179799368,-9.57145052858,-9.90092043592,-9.24361322199,0,-0.00109152945133,-9.56179799368,-56.8599521789,1.40961184059
