model,fold,month,cost_bps,period_count,cohort_count,total_gross_log_return,total_turnover,mean_turnover,break_even_cost_bps,pooled_gross_mean_return,pooled_net_mean_return,equal_weighted_net_mean_return,pooled_annualized_net_return,equal_weighted_annualized_net_return,worst_cohort_annualized_net_return,best_cohort_annualized_net_return,positive_cohort_fraction
ridge,3,2026-06,0.5,8628,12,0.404180256685,11647,1.34990727863,0.347025205362,4.68451850585e-05,-2.06501788729e-05,-2.06501788729e-05,-0.180895566926,-0.180895566926,-0.814220833625,0.997930321527,0.333333333333
ridge,3,2026-06,1,8628,12,0.404180256685,11647,1.34990727863,0.347025205362,4.68451850585e-05,-8.81455428043e-05,-8.81455428043e-05,-0.772154954965,-0.772154954965,-1.40984600748,0.410529069788,0.0833333333333
tcn,1,2026-01,0,8928,12,0.264843321031,13116,1.46908602151,0.20192384952,2.96643504739e-05,2.96643504739e-05,2.96643504739e-05,0.259859710151,0.259859710151,-1.51398780622,0.803381023014,0.833333333333
tcn,1,2026-01,0.5,8928,12,0.264843321031,13116,1.46908602151,0.20192384952,2.96643504739e-05,-4.37899506014e-05,-4.37899506014e-05,-0.383599967268,-0.383599967268,-2.15126603203,0.142554410111,0.166666666667
tcn,1,2026-01,1,8928,12,0.264843321031,13116,1.46908602151,0.20192384952,2.96643504739e-05,-0.000117244251677,-0.000117244251677,-1.02705964469,-1.02705964469,-2.78854425784,-0.518272202792,0
tcn,1,2026-02,0,8052,12,-0.257720998016,11784.5,1.46354942871,-0.218694894154,-3.20070787402e-05,-3.20070787402e-05,-3.20070787402e-05,-0.280382009764,-0.280382009764,-1.26302625673,1.04213555526,0.25
tcn,1,2026-02,0.5,8052,12,-0.257720998016,11784.5,1.46354942871,-0.218694894154,-3.20070787402e-05,-0.000105184550176,-0.000105184550176,-0.92141665954,-0.92141665954,-1.90272819414,0.388562529923,0.0833333333333
tcn,1,2026-02,1,8052,12,-0.257720998016,11784.5,1.46354942871,-0.218694894154,-3.20070787402e-05,-0.000178362021611,-0.000178362021611,-1.56245130932,-1.56245130932,-2.54243013154,-0.265010495412,0
tcn,2,2026-03,0,8928,12,-0.0293695425793,13366.5,1.4971438172,-0.0219725003398,-3.28959930323e-06,-3.28959930323e-06,-3.28959930323e-06,-0.0288168898963,-0.0288168898963,-0.670416852434,0.494653926794,0.416666666667
tcn,2,2026-03,0.5,8928,12,-0.0293695425793,13366.5,1.4971438172,-0.0219725003398,-3.28959930323e-06,-7.81467901634e-05,-7.81467901634e-05,-0.684565881832,-0.684565881832,-1.33345112663,-0.160574787386,0
